"","animal","stage","animal_stage","repl","Observed","Chao1","se.chao1","Shannon","InvSimpson"
"ARRIAH.16S_V4.1.repl2.R1.fastq.gz",1,"n",1,"repl2",21,21,0,0.833657962384642,1.4285090266912
"ARRIAH.16S_V4.10.repl1.R1.fastq.gz",1,"n",10,"repl1",28,28,0.490990253030983,0.973760916581546,1.67488623353972
"ARRIAH.16S_V4.10.repl2.R1.fastq.gz",1,"n",10,"repl2",26,26,0,0.947684993763862,1.64274850725393
"ARRIAH.16S_V4.11.repl1.R1.fastq.gz",1,"n",11,"repl1",36,36,0,2.33969810833729,7.34623605637566
"ARRIAH.16S_V4.11.repl2.R1.fastq.gz",1,"n",11,"repl2",31,31,0,2.30346339170762,7.19844460154892
"ARRIAH.16S_V4.12.repl1.R1.fastq.gz",1,"n",12,"repl1",38,38,0,2.52470330094016,7.24247180561988
"ARRIAH.16S_V4.12.repl2.R1.fastq.gz",1,"n",12,"repl2",37,37,0.164398987305357,2.387369494342,6.56989944602391
"ARRIAH.16S_V4.13.repl1.R1.fastq.gz",1,"n",13,"repl1",56,56,0.123878901120639,2.8720212583362,6.78508246492164
"ARRIAH.16S_V4.13.repl2.R1.fastq.gz",1,"n",13,"repl2",53,53,0.0825434260906081,2.47706513366211,4.29401052318968
"ARRIAH.16S_V4.140.repl1.R1.fastq.gz",14,"0",140,"repl1",1,1,0,0,1
"ARRIAH.16S_V4.140.repl2.R1.fastq.gz",14,"0",140,"repl2",1,1,0,0,1
"ARRIAH.16S_V4.15.repl1.R1.fastq.gz",1,"5",15,"repl1",24,24,0,2.05165198847036,5.39441934226217
"ARRIAH.16S_V4.15.repl2.R1.fastq.gz",1,"5",15,"repl2",19,19,0,0.932080238093983,1.97882085570835
"ARRIAH.16S_V4.18.repl1.R1.fastq.gz",1,"8",18,"repl1",24,24,0,0.700207311302882,1.39936170958165
"ARRIAH.16S_V4.18.repl2.R1.fastq.gz",1,"8",18,"repl2",29,29,0,0.732673766958072,1.41945801541251
"ARRIAH.16S_V4.19.repl1.R1.fastq.gz",1,"9",19,"repl1",70,70.5,1.02663504295651,1.94313883683406,3.40256437688769
"ARRIAH.16S_V4.19.repl2.R1.fastq.gz",1,"9",19,"repl2",71,71,0.124116596704328,1.93414328595084,3.39798685880024
"ARRIAH.16S_V4.2.repl1.R1.fastq.gz",2,"n",2,"repl1",30,30,0.491596040125088,0.766072787568162,1.32956416353201
"ARRIAH.16S_V4.2.repl2.R1.fastq.gz",2,"n",2,"repl2",25,25,0,0.648978365250101,1.2745420969254
"ARRIAH.16S_V4.20.repl1.R1.fastq.gz",2,"0",20,"repl1",122,122.666666666667,1.14664074336041,3.45597467841682,8.90515365699793
"ARRIAH.16S_V4.20.repl2.R1.fastq.gz",2,"0",20,"repl2",144,146,2.58543072906518,3.49596023164146,8.58381063799896
"ARRIAH.16S_V4.21.repl1.R1.fastq.gz",2,"1",21,"repl1",95,96.5,2.59358515145037,1.61309810336824,1.86326874996723
"ARRIAH.16S_V4.22.repl1.R1.fastq.gz",2,"2",22,"repl1",60,60,0,3.33479895906372,15.7688892021427
"ARRIAH.16S_V4.23.repl1.R1.fastq.gz",2,"3",23,"repl1",76,77.2,1.83986257653069,3.01669189685846,7.1637526241706
"ARRIAH.16S_V4.24.repl1.R1.fastq.gz",2,"4",24,"repl1",19,19,0.162221421130763,0.84693359420089,1.79077992053302
"ARRIAH.16S_V4.24.repl2.R1.fastq.gz",2,"4",24,"repl2",80,80,0,3.67592266096923,18.0833180784016
"ARRIAH.16S_V4.25.repl1.R1.fastq.gz",2,"5",25,"repl1",75,75,0.248327740429189,1.49164804281249,1.7846310227489
"ARRIAH.16S_V4.25.repl2.R1.fastq.gz",2,"5",25,"repl2",85,85.5,1.29650339476284,1.52576026564315,1.76722281160228
"ARRIAH.16S_V4.26.repl1.R1.fastq.gz",2,"6",26,"repl1",62,62,0,3.43759537169361,17.5359279378395
"ARRIAH.16S_V4.26.repl2.R1.fastq.gz",2,"6",26,"repl2",65,65,0,3.56021123670279,20.6338706301026
"ARRIAH.16S_V4.27.repl1.R1.fastq.gz",2,"7",27,"repl1",77,77.25,0.73600583654204,3.09775097685833,7.72095044914518
"ARRIAH.16S_V4.27.repl2.R1.fastq.gz",2,"7",27,"repl2",72,72,0.0993031273984415,3.09540834423031,7.47228224532708
"ARRIAH.16S_V4.28.repl1.R1.fastq.gz",2,"8",28,"repl1",21,21,0.121987509118567,0.836086297179229,1.76082257647824
"ARRIAH.16S_V4.28.repl2.R1.fastq.gz",2,"8",28,"repl2",19,19,0.486664263392288,0.826319307451996,1.73367726519496
"ARRIAH.16S_V4.3.repl1.R1.fastq.gz",3,"n",3,"repl1",18,18,0,1.61352869787385,3.38250772246157
"ARRIAH.16S_V4.3.repl2.R1.fastq.gz",3,"n",3,"repl2",20,20,0,1.77803092946928,3.89944365071598
"ARRIAH.16S_V4.30.repl1.R1.fastq.gz",3,"0",30,"repl1",84,84,0.124253724673501,3.9416244572635,31.3331372511812
"ARRIAH.16S_V4.30.repl2.R1.fastq.gz",3,"0",30,"repl2",85,86,1.81589664357723,3.90087536505293,31.1482014116222
"ARRIAH.16S_V4.31.repl1.R1.fastq.gz",3,"1",31,"repl1",26,26,0,2.05895819080875,4.78409220437426
"ARRIAH.16S_V4.31.repl2.R1.fastq.gz",3,"1",31,"repl2",26,26,0,1.81072343412829,3.47357720160977
"ARRIAH.16S_V4.32.repl1.R1.fastq.gz",3,"2",32,"repl1",43,43,0,2.63980896533166,7.9029481801369
"ARRIAH.16S_V4.32.repl2.R1.fastq.gz",3,"2",32,"repl2",37,37,0,2.49223872061755,7.01156316002816
"ARRIAH.16S_V4.33.repl1.R1.fastq.gz",3,"3",33,"repl1",24,24,0,1.69827705863975,3.56382018009811
"ARRIAH.16S_V4.33.repl2.R1.fastq.gz",3,"3",33,"repl2",27,27,0,1.79336707466148,3.79008888590315
"ARRIAH.16S_V4.34.repl1.R1.fastq.gz",3,"4",34,"repl1",27,27,0,1.90968944289153,4.39694670374567
"ARRIAH.16S_V4.34.repl2.R1.fastq.gz",3,"4",34,"repl2",27,27,0,1.8013635019749,4.1376859548993
"ARRIAH.16S_V4.35.repl1.R1.fastq.gz",3,"5",35,"repl1",38,38,0,2.45039957275726,7.64031945197948
"ARRIAH.16S_V4.35.repl2.R1.fastq.gz",3,"5",35,"repl2",36,36,0,2.47491006959331,7.85340123857612
"ARRIAH.16S_V4.36.repl1.R1.fastq.gz",3,"6",36,"repl1",177,177.428571428571,0.912845719617854,4.31127028006217,35.052262290049
"ARRIAH.16S_V4.36.repl2.R1.fastq.gz",3,"6",36,"repl2",170,170,0.0453206584318901,4.33007322568549,38.6091932211306
"ARRIAH.16S_V4.37.repl1.R1.fastq.gz",3,"7",37,"repl1",31,31,0.491869376837965,2.12459912690993,5.64865871285609
"ARRIAH.16S_V4.37.repl2.R1.fastq.gz",3,"7",37,"repl2",20,20,0,1.75582321108053,4.42632269224095
"ARRIAH.16S_V4.38.repl1.R1.fastq.gz",3,"8",38,"repl1",30,30,0,1.93581690232297,4.52604316127599
"ARRIAH.16S_V4.38.repl2.R1.fastq.gz",3,"8",38,"repl2",30,30,0,1.97451808160581,4.61954333258235
"ARRIAH.16S_V4.39.repl1.R1.fastq.gz",3,"9",39,"repl1",27,27,0,2.17983209677386,5.71491376710152
"ARRIAH.16S_V4.39.repl2.R1.fastq.gz",3,"9",39,"repl2",23,23,0,2.13595731905703,5.7264735564656
"ARRIAH.16S_V4.4.repl1.R1.fastq.gz",4,"n",4,"repl1",12,12,0,1.17708230823394,2.41138827193458
"ARRIAH.16S_V4.4.repl2.R1.fastq.gz",4,"n",4,"repl2",16,16,0,1.11141065867256,2.32540042482759
"ARRIAH.16S_V4.40.repl1.R1.fastq.gz",4,"0",40,"repl1",21,21,0,0.481618836722944,1.18260638363733
"ARRIAH.16S_V4.40.repl2.R1.fastq.gz",4,"0",40,"repl2",16,16,0,0.231846506723829,1.07097352214406
"ARRIAH.16S_V4.41.repl1.R1.fastq.gz",4,"1",41,"repl1",42,42,0,2.11344597458291,4.66229860217348
"ARRIAH.16S_V4.41.repl2.R1.fastq.gz",4,"1",41,"repl2",25,25,0,1.78256650401458,3.94623174485809
"ARRIAH.16S_V4.42.repl1.R1.fastq.gz",4,"2",42,"repl1",19,19,0,1.64589999868812,3.10430745397248
"ARRIAH.16S_V4.42.repl2.R1.fastq.gz",4,"2",42,"repl2",21,21,0,1.53280681092746,2.8090467239569
"ARRIAH.16S_V4.43.repl1.R1.fastq.gz",4,"3",43,"repl1",35,35,0,1.80591438562801,3.56669853362797
"ARRIAH.16S_V4.43.repl2.R1.fastq.gz",4,"3",43,"repl2",25,25,0,1.59896491977532,3.14108510534098
"ARRIAH.16S_V4.44.repl1.R1.fastq.gz",4,"4",44,"repl1",16,16,0,1.4667467975463,3.11311786864681
"ARRIAH.16S_V4.44.repl2.R1.fastq.gz",4,"4",44,"repl2",23,23,0,1.87288353483318,4.07330297110328
"ARRIAH.16S_V4.45.repl1.R1.fastq.gz",4,"5",45,"repl1",33,33,0,1.61173948612744,2.75854264278753
"ARRIAH.16S_V4.45.repl2.R1.fastq.gz",4,"5",45,"repl2",28,28,0,1.69904063140821,2.98349248459352
"ARRIAH.16S_V4.46.repl1.R1.fastq.gz",4,"6",46,"repl1",28,28,0,1.62301017309038,2.36005814046207
"ARRIAH.16S_V4.46.repl2.R1.fastq.gz",4,"6",46,"repl2",14,14,0,0.793330536079787,1.44844373598416
"ARRIAH.16S_V4.47.repl1.R1.fastq.gz",4,"7",47,"repl1",26,26,0,1.36111755410474,2.35339601764033
"ARRIAH.16S_V4.47.repl2.R1.fastq.gz",4,"7",47,"repl2",27,27,0,1.24153698172565,2.24447375732006
"ARRIAH.16S_V4.49.repl1.R1.fastq.gz",4,"9",49,"repl1",17,17,0,1.16403469818091,2.3955757939015
"ARRIAH.16S_V4.49.repl2.R1.fastq.gz",4,"9",49,"repl2",14,14,0,0.952296213483553,2.15249966592205
"ARRIAH.16S_V4.5.repl1.R1.fastq.gz",5,"n",5,"repl1",17,17,0,0.607128083406597,1.31095587017694
"ARRIAH.16S_V4.5.repl2.R1.fastq.gz",5,"n",5,"repl2",18,18,0,0.630016942235715,1.31508664874312
"ARRIAH.16S_V4.50.repl1.R1.fastq.gz",5,"0",50,"repl1",20,20,0,1.31312089474397,2.89362077137271
"ARRIAH.16S_V4.50.repl2.R1.fastq.gz",5,"0",50,"repl2",14,14,0,1.25860092332374,2.78584801963043
"ARRIAH.16S_V4.52.repl1.R1.fastq.gz",5,"2",52,"repl1",36,36,0,2.3435494292966,4.6618502667579
"ARRIAH.16S_V4.52.repl2.R1.fastq.gz",5,"2",52,"repl2",53,53,0,2.61567146717088,5.48861816931363
"ARRIAH.16S_V4.53.repl1.R1.fastq.gz",5,"3",53,"repl1",39,39,0,1.69272366563181,3.03422305001464
"ARRIAH.16S_V4.53.repl2.R1.fastq.gz",5,"3",53,"repl2",29,29,0,1.42419485069799,2.62543507756075
"ARRIAH.16S_V4.54.repl1.R1.fastq.gz",5,"4",54,"repl1",67,67,0,3.62897217538651,19.776115942029
"ARRIAH.16S_V4.54.repl2.R1.fastq.gz",5,"4",54,"repl2",80,80,0,3.84216154343545,25.9972146283593
"ARRIAH.16S_V4.57.repl1.R1.fastq.gz",5,"7",57,"repl1",31,31,0,1.85370918138893,4.09059125604313
"ARRIAH.16S_V4.57.repl2.R1.fastq.gz",5,"7",57,"repl2",24,24,0,1.71639319605062,3.71589215133767
"ARRIAH.16S_V4.58.repl1.R1.fastq.gz",5,"8",58,"repl1",30,30,0,2.13320434926112,3.80274223905844
"ARRIAH.16S_V4.58.repl2.R1.fastq.gz",5,"8",58,"repl2",39,39.3333333333333,0.923581463778025,2.50533715202628,5.87747226363437
"ARRIAH.16S_V4.6.repl1.R1.fastq.gz",6,"n",6,"repl1",48,48,0.164921417875527,1.94273246019517,3.27347292988778
"ARRIAH.16S_V4.6.repl2.R1.fastq.gz",6,"n",6,"repl2",33,33,0,1.70630796321402,2.86433368223788
"ARRIAH.16S_V4.60.repl1.R1.fastq.gz",6,"0",60,"repl1",16,16,0,1.64825329224695,3.661631647076
"ARRIAH.16S_V4.60.repl2.R1.fastq.gz",6,"0",60,"repl2",13,13,0,1.39558208254077,3.01646323560019
"ARRIAH.16S_V4.61.repl1.R1.fastq.gz",6,"1",61,"repl1",30,30,0,2.12913915957432,5.46828330698756
"ARRIAH.16S_V4.61.repl2.R1.fastq.gz",6,"1",61,"repl2",34,34,0,2.21668606267393,5.75191272740702
"ARRIAH.16S_V4.62.repl1.R1.fastq.gz",6,"2",62,"repl1",24,24,0,1.24275481254132,1.86961512269731
"ARRIAH.16S_V4.62.repl2.R1.fastq.gz",6,"2",62,"repl2",21,21,0,0.972938766827289,1.56593984416304
"ARRIAH.16S_V4.63.repl1.R1.fastq.gz",6,"3",63,"repl1",48,48,0,2.55618095532353,8.50488245017278
"ARRIAH.16S_V4.63.repl2.R1.fastq.gz",6,"3",63,"repl2",42,42,0,2.46472825235776,7.88486141688535
