Index α-diversity,Shannon's,Berger-parker's,Fisher's,Simpson's,Simpson's Reciprocal Index,Animal
a_88,1.19,0.37,65.43,0.67,3.05,Taurus
a_89,2.02,0.35,648.66,0.79,4.69,Taurus
a_90,1.08,0.46,88.51,0.58,2.4,Taurus
a_91,0.93,0.62,129.38,0.51,2.04,Ovis
a_92,1.7,0.39,134.93,0.75,4.02,Ovis
a_93,2.3,0.36,643.15,0.79,4.8,Ovis
a_94,1.33,0.46,114.4,0.67,3,Ovis
a_95,2.09,0.37,499.9,0.78,4.65,Ovis
a_96,1.13,0.78,226.42,0.39,1.64,Ovis
a_97,1.96,0.36,86.72,0.8,4.99,Ovis
a_98,3.6,0.12,1955.13,0.95,19.46,Ovis
a_99,1.39,0.67,156.41,0.53,2.14,Ovis
a_100,3.11,0.22,846.35,0.91,10.88,Ovis
