"","sam_names","stage","NA","NA","animal","stage_n"
"1","ARRIAH_101_S38",2,"cow 1","stage 11","cow 1","stage 2"
"2","ARRIAH_102",2,"cow 2","stage 11","cow 1","stage 2"
"3","ARRIAH_103",2,"cow 3","stage 11","cow 1","stage 2"
"4","ARRIAH_104_S34",2,"cow 4","stage 11","cow 1","stage 2"
"5","ARRIAH_105_S62",2,"cow 5","stage 11","cow 1","stage 2"
"6","ARRIAH_106_S64",2,"cow 6","stage 11","cow 1","stage 2"
"7","ARRIAH_107_S76",2,"cow 7","stage 11","cow 1","stage 2"
"8","ARRIAH_108_S138",2,"cow 8","stage 11","cow 1","stage 2"
"9","ARRIAH_109_S126",2,"cow 9","stage 11","cow 1","stage 2"
"10","ARRIAH_10_S74",1,"cow 0","stage 1","cow 1","stage 1"
"11","ARRIAH_110_S133",2,"cow 0","stage 11","cow 1","stage 2"
"12","ARRIAH_111_S90",2,"cow 1","stage 12","cow 2","stage 2"
"13","ARRIAH_112",2,"cow 2","stage 12","cow 2","stage 2"
"14","ARRIAH_113_S46",2,"cow 3","stage 12","cow 2","stage 2"
"15","ARRIAH_114_S56",2,"cow 4","stage 12","cow 2","stage 2"
"16","ARRIAH_115_S89",2,"cow 5","stage 12","cow 2","stage 2"
"17","ARRIAH_116",2,"cow 6","stage 12","cow 2","stage 2"
"18","ARRIAH_117",2,"cow 7","stage 12","cow 2","stage 2"
"19","ARRIAH_118",2,"cow 8","stage 12","cow 2","stage 2"
"20","ARRIAH_119_S54",2,"cow 9","stage 12","cow 2","stage 2"
"21","ARRIAH_11",1,"cow 1","stage 2","cow 2","stage 1"
"22","ARRIAH_120_S85",2,"cow 0","stage 12","cow 2","stage 2"
"23","ARRIAH_121",2,"cow 1","stage 13","cow 3","stage 2"
"24","ARRIAH_122_S141",2,"cow 2","stage 13","cow 3","stage 2"
"25","ARRIAH_123_S32",2,"cow 3","stage 13","cow 3","stage 2"
"26","ARRIAH_124",2,"cow 4","stage 13","cow 3","stage 2"
"27","ARRIAH_125",2,"cow 5","stage 13","cow 3","stage 2"
"28","ARRIAH_126",2,"cow 6","stage 13","cow 3","stage 2"
"29","ARRIAH_127",2,"cow 7","stage 13","cow 3","stage 2"
"30","ARRIAH_128",2,"cow 8","stage 13","cow 3","stage 2"
"31","ARRIAH_129",2,"cow 9","stage 13","cow 3","stage 2"
"32","ARRIAH_12",1,"cow 2","stage 2","cow 2","stage 1"
"33","ARRIAH_130_S47",2,"cow 0","stage 13","cow 3","stage 2"
"34","ARRIAH_131",2,"cow 1","stage 14","cow 4","stage 2"
"35","ARRIAH_132",2,"cow 2","stage 14","cow 4","stage 2"
"36","ARRIAH_133_S37",2,"cow 3","stage 14","cow 4","stage 2"
"37","ARRIAH_134_S52",2,"cow 4","stage 14","cow 4","stage 2"
"38","ARRIAH_135_S41",2,"cow 5","stage 14","cow 4","stage 2"
"39","ARRIAH_136_S84",2,"cow 6","stage 14","cow 4","stage 2"
"40","ARRIAH_137_S94",2,"cow 7","stage 14","cow 4","stage 2"
"41","ARRIAH_138_S66",2,"cow 8","stage 14","cow 4","stage 2"
"42","ARRIAH_139_S120",2,"cow 9","stage 14","cow 4","stage 2"
"43","ARRIAH_13_S81",1,"cow 3","stage 2","cow 2","stage 1"
"44","ARRIAH_140_S57",2,"cow 0","stage 14","cow 4","stage 2"
"45","ARRIAH_14_S139",1,"cow 4","stage 2","cow 2","stage 1"
"46","ARRIAH_15_S140",1,"cow 5","stage 2","cow 2","stage 1"
"47","ARRIAH_16",1,"cow 6","stage 2","cow 2","stage 1"
"48","ARRIAH_17_S61",1,"cow 7","stage 2","cow 2","stage 1"
"49","ARRIAH_18_S39",1,"cow 8","stage 2","cow 2","stage 1"
"50","ARRIAH_19",1,"cow 9","stage 2","cow 2","stage 1"
"51","ARRIAH_1_S68",1,"cow 1","stage 1","cow 1","stage 1"
"52","ARRIAH_20_S33",1,"cow 0","stage 2","cow 2","stage 1"
"53","ARRIAH_21_S103",1,"cow 1","stage 3","cow 3","stage 1"
"54","ARRIAH_22_S121",1,"cow 2","stage 3","cow 3","stage 1"
"55","ARRIAH_23_S114",1,"cow 3","stage 3","cow 3","stage 1"
"56","ARRIAH_24_S87",1,"cow 4","stage 3","cow 3","stage 1"
"57","ARRIAH_25_S105",1,"cow 5","stage 3","cow 3","stage 1"
"58","ARRIAH_26_S78",1,"cow 6","stage 3","cow 3","stage 1"
"59","ARRIAH_27_S93",1,"cow 7","stage 3","cow 3","stage 1"
"60","ARRIAH_28_S122",1,"cow 8","stage 3","cow 3","stage 1"
"61","ARRIAH_29_S104",1,"cow 9","stage 3","cow 3","stage 1"
"62","ARRIAH_2_S60",1,"cow 2","stage 1","cow 1","stage 1"
"63","ARRIAH_30_S75",1,"cow 0","stage 3","cow 3","stage 1"
"64","ARRIAH_31_S35",1,"cow 1","stage 4","cow 4","stage 1"
"65","ARRIAH_32_S72",1,"cow 2","stage 4","cow 4","stage 1"
"66","ARRIAH_33_S59",1,"cow 3","stage 4","cow 4","stage 1"
"67","ARRIAH_34_S43",1,"cow 4","stage 4","cow 4","stage 1"
"68","ARRIAH_35_S44",1,"cow 5","stage 4","cow 4","stage 1"
"69","ARRIAH_36_S106",1,"cow 6","stage 4","cow 4","stage 1"
"70","ARRIAH_37_S83",1,"cow 7","stage 4","cow 4","stage 1"
"71","ARRIAH_38_S88",1,"cow 8","stage 4","cow 4","stage 1"
"72","ARRIAH_39",1,"cow 9","stage 4","cow 4","stage 1"
"73","ARRIAH_3_S48",1,"cow 3","stage 1","cow 1","stage 1"
"74","ARRIAH_40_S53",1,"cow 0","stage 4","cow 4","stage 1"
"75","ARRIAH_41_S131",1,"cow 1","stage 5","cow 5","stage 1"
"76","ARRIAH_42_S58",1,"cow 2","stage 5","cow 5","stage 1"
"77","ARRIAH_43_S49",1,"cow 3","stage 5","cow 5","stage 1"
"78","ARRIAH_44_S112",1,"cow 4","stage 5","cow 5","stage 1"
"79","ARRIAH_45",1,"cow 5","stage 5","cow 5","stage 1"
"80","ARRIAH_46_S110",1,"cow 6","stage 5","cow 5","stage 1"
"81","ARRIAH_47_S79",1,"cow 7","stage 5","cow 5","stage 1"
"82","ARRIAH_48_S95",1,"cow 8","stage 5","cow 5","stage 1"
"83","ARRIAH_49_S102",1,"cow 9","stage 5","cow 5","stage 1"
"84","ARRIAH_4_S73",1,"cow 4","stage 1","cow 1","stage 1"
"85","ARRIAH_50_S65",1,"cow 0","stage 5","cow 5","stage 1"
"86","ARRIAH_51_S111",1,"cow 1","stage 6","cow 6","stage 1"
"87","ARRIAH_52_S86",1,"cow 2","stage 6","cow 6","stage 1"
"88","ARRIAH_53",1,"cow 3","stage 6","cow 6","stage 1"
"89","ARRIAH_54_S132",1,"cow 4","stage 6","cow 6","stage 1"
"90","ARRIAH_55_S108",1,"cow 5","stage 6","cow 6","stage 1"
"91","ARRIAH_56_S71",1,"cow 6","stage 6","cow 6","stage 1"
"92","ARRIAH_57_S50",1,"cow 7","stage 6","cow 6","stage 1"
"93","ARRIAH_58_S115",1,"cow 8","stage 6","cow 6","stage 1"
"94","ARRIAH_59_S97",1,"cow 9","stage 6","cow 6","stage 1"
"95","ARRIAH_5_S63",1,"cow 5","stage 1","cow 1","stage 1"
"96","ARRIAH_60_S82",1,"cow 0","stage 6","cow 6","stage 1"
"97","ARRIAH_61",1,"cow 1","stage 7","cow 7","stage 1"
"98","ARRIAH_62_S134",1,"cow 2","stage 7","cow 7","stage 1"
"99","ARRIAH_63",1,"cow 3","stage 7","cow 7","stage 1"
"100","ARRIAH_64_S91",1,"cow 4","stage 7","cow 7","stage 1"
"101","ARRIAH_65_S42",1,"cow 5","stage 7","cow 7","stage 1"
"102","ARRIAH_66_S80",1,"cow 6","stage 7","cow 7","stage 1"
"103","ARRIAH_67",1,"cow 7","stage 7","cow 7","stage 1"
"104","ARRIAH_68_S98",1,"cow 8","stage 7","cow 7","stage 1"
"105","ARRIAH_69_S67",1,"cow 9","stage 7","cow 7","stage 1"
"106","ARRIAH_6_S70",1,"cow 6","stage 1","cow 1","stage 1"
"107","ARRIAH_70_S136",1,"cow 0","stage 7","cow 7","stage 1"
"108","ARRIAH_71_S137",1,"cow 1","stage 8","cow 8","stage 1"
"109","ARRIAH_72_S123",1,"cow 2","stage 8","cow 8","stage 1"
"110","ARRIAH_73_S96",1,"cow 3","stage 8","cow 8","stage 1"
"111","ARRIAH_74_S69",1,"cow 4","stage 8","cow 8","stage 1"
"112","ARRIAH_75_S113",1,"cow 5","stage 8","cow 8","stage 1"
"113","ARRIAH_76_S101",1,"cow 6","stage 8","cow 8","stage 1"
"114","ARRIAH_77_S51",1,"cow 7","stage 8","cow 8","stage 1"
"115","ARRIAH_78_S124",1,"cow 8","stage 8","cow 8","stage 1"
"116","ARRIAH_79_S119",1,"cow 9","stage 8","cow 8","stage 1"
"117","ARRIAH_7_S55",1,"cow 7","stage 1","cow 1","stage 1"
"118","ARRIAH_81_S109",1,"cow 1","stage 9","cow 9","stage 1"
"119","ARRIAH_82",1,"cow 2","stage 9","cow 9","stage 1"
"120","ARRIAH_83_S77",1,"cow 3","stage 9","cow 9","stage 1"
"121","ARRIAH_84_S118",1,"cow 4","stage 9","cow 9","stage 1"
"122","ARRIAH_85_S125",1,"cow 5","stage 9","cow 9","stage 1"
"123","ARRIAH_86_S130",1,"cow 6","stage 9","cow 9","stage 1"
"124","ARRIAH_87_S127",1,"cow 7","stage 9","cow 9","stage 1"
"125","ARRIAH_88_S135",1,"cow 8","stage 9","cow 9","stage 1"
"126","ARRIAH_89_S116",1,"cow 9","stage 9","cow 9","stage 1"
"127","ARRIAH_8_S107",1,"cow 8","stage 1","cow 1","stage 1"
"128","ARRIAH_90_S128",1,"cow 0","stage 9","cow 9","stage 1"
"129","ARRIAH_91_S92",1,"cow 1","stage 10","cow 0","stage 1"
"130","ARRIAH_92_S129",1,"cow 2","stage 10","cow 0","stage 1"
"131","ARRIAH_93",1,"cow 3","stage 10","cow 0","stage 1"
"132","ARRIAH_94",1,"cow 4","stage 10","cow 0","stage 1"
"133","ARRIAH_95_S117",1,"cow 5","stage 10","cow 0","stage 1"
"134","ARRIAH_96_S40",1,"cow 6","stage 10","cow 0","stage 1"
"135","ARRIAH_97",1,"cow 7","stage 10","cow 0","stage 1"
"136","ARRIAH_98_S45",1,"cow 8","stage 10","cow 0","stage 1"
"137","ARRIAH_99_S36",1,"cow 9","stage 10","cow 0","stage 1"
"138","ARRIAH_9",1,"cow 9","stage 1","cow 1","stage 1"
