"","x"
"ASV_0001 Moraxellaceae.g Acinetobacter",3
"ASV_0002 Pseudomonadaceae.g Pseudomonas",3
"ASV_0003 Weeksellaceae.g Chryseobacterium",6
"ASV_0004 Micrococcaceae.g Citricoccus",5
"ASV_0005 Mitochondria.g NA",5
"ASV_0006 Pseudomonadaceae.g Pseudomonas",3
"ASV_0007 Xanthomonadaceae.g Stenotrophomonas",3
"ASV_0008 Pseudomonadaceae.g Pseudomonas",8
"ASV_0009 Micrococcaceae.g Paenarthrobacter",2
"ASV_0010 Weeksellaceae.g Chryseobacterium",8
"ASV_0011 Pseudomonadaceae.g Pseudomonas",3
"ASV_0012 Pseudomonadaceae.g Pseudomonas",6
"ASV_0013 Moraxellaceae.g Acinetobacter",2
"ASV_0014 Sphingobacteriaceae.g Pedobacter",6
"ASV_0015 Pseudomonadaceae.g Pseudomonas",3
"ASV_0016 Erwiniaceae.g Pantoea",3
"ASV_0017 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0018 Pasteurellaceae.g Mannheimia",5
"ASV_0019 Oxalobacteraceae.g Massilia",3
"ASV_0020 Microbacteriaceae.g Curtobacterium",5
"ASV_0021 Weeksellaceae.g Chryseobacterium",8
"ASV_0022 Caulobacteraceae.g Brevundimonas",6
"ASV_0023 Brevibacteriaceae.g Brevibacterium",2
"ASV_0024 Pseudomonadaceae.g Pseudomonas",6
"ASV_0025 Sphingobacteriaceae.g Sphingobacterium",6
"ASV_0026 Alcaligenaceae.g Advenella",8
"ASV_0027 Flavobacteriaceae.g Flavobacterium",1
"ASV_0028 Bacteroidaceae.g Bacteroides",2
"ASV_0029 Dietziaceae.g Dietzia",5
"ASV_0030 Microbacteriaceae.g NA",2
"ASV_0031 Moraxellaceae.g Acinetobacter",1
"ASV_0032 Microbacteriaceae.g Rathayibacter",5
"ASV_0033 Planococcaceae.g Planomicrobium",4
"ASV_0034 Flavobacteriaceae.g Flavobacterium",6
"ASV_0035 Aeromonadaceae.g Aeromonas",6
"ASV_0036 Pasteurellaceae.g Pasteurella",5
"ASV_0037 Flavobacteriaceae.g Flavobacterium",6
"ASV_0038 Porphyromonadaceae.g Porphyromonas",2
"ASV_0039 Sphingobacteriaceae.g Sphingobacterium",8
"ASV_0040 Nocardiaceae.g Rhodococcus",9
"ASV_0041 Pseudomonadaceae.g Pseudomonas",9
"ASV_0042 Xanthomonadaceae.g Stenotrophomonas",1
"ASV_0043 Oxalobacteraceae.g Janthinobacterium",7
"ASV_0044 Xanthomonadaceae.g Luteimonas",9
"ASV_0045 Pseudomonadaceae.g Pseudomonas",7
"ASV_0046 Moraxellaceae.g Faucicola",5
"ASV_0047 Pseudomonadaceae.g Pseudomonas",7
"ASV_0048 Microbacteriaceae.g Clavibacter",9
"ASV_0049 Family XI.g Parvimonas",2
"ASV_0050 Porphyromonadaceae.g Porphyromonas",2
"ASV_0051 Mitochondria.g NA",9
"ASV_0052 Xanthomonadaceae.g Stenotrophomonas",9
"ASV_0053 Moraxellaceae.g Acinetobacter",5
"ASV_0054 Streptococcaceae.g Lactococcus",9
"ASV_0055 Sphingobacteriaceae.g Pedobacter",8
"ASV_0056 Sphingomonadaceae.g Sphingomonas",7
"ASV_0057 Sphingobacteriaceae.g Pedobacter",1
