"","x"
"kraken_2 Ophiocordycipitaceae.g Drechmeria",4
"kraken_3 Ophiocordycipitaceae.g Purpureocillium",4
"kraken_5 Nectriaceae.g Fusarium",6
"kraken_11 Clavicipitaceae.g Ustilaginoidea",2
"kraken_12 Clavicipitaceae.g Pochonia",2
"kraken_13 Cordycipitaceae.g Akanthomyces",4
"kraken_14 Hypocreaceae.g Trichoderma",2
"kraken_16 Glomerellaceae.g Colletotrichum",4
"kraken_17 Sordariaceae.g Neurospora",4
"kraken_18 Chaetomiaceae.g Thermothielavioides",4
"kraken_19 Chaetomiaceae.g Thermothelomyces",4
"kraken_20 Pyriculariaceae.g Pyricularia",4
"kraken_23 Sclerotiniaceae.g Botrytis",4
"kraken_24 Aspergillaceae.g Aspergillus",7
"kraken_29 Aspergillaceae.g Penicillium",2
"kraken_30 Trichocomaceae.g Talaromyces",2
"kraken_32 Mycosphaerellaceae.g Cercospora",2
"kraken_33 Mycosphaerellaceae.g Zymoseptoria",2
"kraken_34 Mycosphaerellaceae.g Fulvia",2
"kraken_35 Saccharomycetaceae.g Tetrapisispora",4
"kraken_37 Saccharomycetaceae.g Naumovozyma",2
"kraken_40 Saccharomycetaceae.g Saccharomyces",2
"kraken_41 Saccharomycetaceae.g Eremothecium",2
"kraken_47 Debaryomycetaceae.g Candida",5
"kraken_49 Debaryomycetaceae.g Scheffersomyces",2
"kraken_50 Debaryomycetaceae.g Debaryomyces",2
"kraken_51 Metschnikowiaceae.g Candida Metschnikowiaceae",2
"kraken_52 Saccharomycodaceae.g Saccharomycodes",2
"kraken_53 Dipodascaceae.g Yarrowia",2
"kraken_54 Trichomonascaceae.g Sugiyamaella",2
"kraken_55 Pichiaceae.g Brettanomyces",2
"kraken_56 Schizosaccharomycetaceae.g Schizosaccharomyces",2
"kraken_58 Malasseziaceae.g Malassezia",4
"kraken_60 Ustilaginaceae.g Sporisorium",4
"kraken_61 Pucciniaceae.g Puccinia",5
"kraken_63 Strophariaceae.g Psilocybe",2
"kraken_64 Ceratobasidiaceae.g Rhizoctonia",2
"kraken_65 Cryptococcaceae.g Cryptococcus",4
"kraken_67 Trypanosomatidae.g Leishmania",7
"kraken_73 Trypanosomatidae.g Trypanosoma",2
"kraken_82 Plasmodiidae.g Plasmodium",1
"kraken_85 Theileriidae.g Theileria",2
"kraken_88 Babesiidae.g Babesia",2
"kraken_89 Sarcocystidae.g Toxoplasma",4
"kraken_90 Sarcocystidae.g Besnoitia",2
"kraken_91 Sarcocystidae.g Neospora",2
"kraken_92 Thalassiosiraceae.g Thalassiosira",2
"kraken_93 Trichomonadidae.g Trichomonas",5
"kraken_94 Hexamitidae.g Giardia",3
"kraken_95 Hemiselmidaceae.g Hemiselmis",3
"kraken_100 Moraxellaceae.g Moraxella",9
"kraken_117 Moraxellaceae.g Acinetobacter",8
"kraken_182 Moraxellaceae.g Psychrobacter",5
"kraken_192 Pasteurellaceae.g Pasteurella",5
"kraken_198 Pasteurellaceae.g Mannheimia",6
"kraken_205 Pasteurellaceae.g Haemophilus",5
"kraken_213 Pasteurellaceae.g Actinobacillus",5
"kraken_214 Pasteurellaceae.g Histophilus",2
"kraken_215 Pasteurellaceae.g Frederiksenia",2
